Category: All categories

Country,Coronavirus: (1/15/20 - 1/22/20)
Cook Islands,
Palau,
Marshall Islands,
Samoa,
Micronesia,
São Tomé & Príncipe,
Tonga,
Northern Mariana Islands,
American Samoa,
Caribbean Netherlands,
Mexico,100
Solomon Islands,
Grenada,
China,75
Nicaragua,70
Mayotte,
Liechtenstein,
Equatorial Guinea,
Djibouti,
Panama,66
Sint Maarten,
Guam,
Honduras,62
El Salvador,62
Greenland,
Puerto Rico,58
Belize,
St. Kitts & Nevis,
Philippines,54
Chile,50
Paraguay,50
Guatemala,45
Faroe Islands,
Fiji,
Timor-Leste,
Bermuda,
Aruba,
Cuba,
Colombia,37
French Guiana,
Barbados,
Canada,33
Isle of Man,
Curaçao,
Macao,
French Polynesia,
Gibraltar,
Costa Rica,33
St. Vincent & Grenadines,
St. Lucia,
Bolivia,33
South Sudan,
Trinidad & Tobago,
Ecuador,29
U.S. Virgin Islands,
Singapore,29
Bhutan,
Australia,25
United States,25
Dominican Republic,25
Guyana,
Maldives,
Peru,25
Cayman Islands,
Mauritius,
Luxembourg,
Malawi,
Jersey,
Malta,
Guernsey,
New Zealand,20
Brunei,
St. Helena,
Argentina,20
Bahamas,
Venezuela,20
Eswatini,
Madagascar,
Antigua & Barbuda,
Cape Verde,
Sierra Leone,
Lesotho,
Congo - Brazzaville,
Réunion,
Papua New Guinea,
Namibia,
Uruguay,16
Hong Kong,16
Jamaica,
Germany,16
Netherlands,16
Andorra,
Sweden,12
Niger,
Switzerland,12
New Caledonia,
United Kingdom,12
Zimbabwe,
Austria,12
Suriname,
Botswana,
Brazil,12
Nepal,
Mauritania,
Guadeloupe,
Martinique,
Ireland,12
Spain,12
Portugal,12
Togo,
Ghana,
Belgium,8
Zambia,
France,8
Cambodia,
Angola,
Gabon,
United Arab Emirates,8
Malaysia,8
Qatar,
Guinea,
Italy,8
Mongolia,
Norway,8
Senegal,
Denmark,8
South Africa,8
Benin,
Finland,8
Somalia,
Romania,8
Rwanda,
Myanmar (Burma),
Cyprus,
Kuwait,
Sri Lanka,
Albania,
Nigeria,
Bahrain,
Kenya,
Mali,
Burkina Faso,
Mozambique,
Lebanon,
Ethiopia,
Côte d’Ivoire,
North Macedonia,
Montenegro,
Turkmenistan,
Haiti,
Estonia,
Kosovo,
Pakistan,4
Oman,
Thailand,4
Laos,
Afghanistan,
Iceland,
India,4
Tanzania,
Georgia,
Tunisia,
Bosnia & Herzegovina,
Uganda,
Taiwan,4
Bangladesh,
Congo - Kinshasa,
South Korea,4
Latvia,
Croatia,
Slovenia,
Cameroon,
Indonesia,4
Slovakia,
Serbia,
Syria,
Moldova,
Czechia,
Algeria,
Morocco,
Bulgaria,
Yemen,
Palestine,
Greece,
Turkey,<1
Israel,
Saudi Arabia,
Vietnam,<1
Hungary,
Iraq,
Azerbaijan,
Egypt,
Jordan,
Lithuania,
Poland,<1
Japan,<1
Uzbekistan,
Kazakhstan,
Belarus,
Ukraine,
Russia,
Iran,
Anguilla,
Åland Islands,
Armenia,
Antarctica,
French Southern Territories,
Burundi,
St. Barthélemy,
Bouvet Island,
Central African Republic,
Cocos (Keeling) Islands,
Comoros,
Christmas Island,
Dominica,
Eritrea,
Western Sahara,
Falkland Islands (Islas Malvinas),
Gambia,
Guinea-Bissau,
Heard & McDonald Islands,
British Indian Ocean Territory,
Kyrgyzstan,
Kiribati,
Liberia,
Libya,
St. Martin,
Monaco,
Montserrat,
Norfolk Island,
Niue,
Nauru,
Pitcairn Islands,
North Korea,
Sudan,
South Georgia & South Sandwich Islands,
Svalbard & Jan Mayen,
San Marino,
St. Pierre & Miquelon,
Seychelles,
Turks & Caicos Islands,
Chad,
Tajikistan,
Tokelau,
Tuvalu,
U.S. Outlying Islands,
Vatican City,
British Virgin Islands,
Vanuatu,
Wallis & Futuna,
